Player key,Age,Age when joined,Appearances,Assists,Assists p90,Competition,Foot,Games started,Goals,Goals p90,Height,In squad,Market value,Minutes played,PPG,Position group,Red cards,Second yellow cards,Shirt number,Substitutions off,Substitutions on,Years in team,Yellow cards,Yellow cards p90,Market value (prediction)
Isaiah Osbourne (09/10),21.0,22.004558615166637,9.0,0.0,0.0,"Championship, FA Cup, League Cup",right,9.0,0.0,0.0,188.0,9.0,0.375,810.0,0.89,M,0.0,0.0,0.0,0.0,0.0,0.6488839606562763,2.0,0.2222222222222222,1.4851255039636797
Isaiah Osbourne (10/11),21.0,,9.0,0.0,0.0,Championship,,9.0,0.0,0.0,,9.0,,810.0,0.89,M,0.0,0.0,0.0,0.0,0.0,,2.0,0.2222222222222222,0.6657227105585707
Ishmael Miller (12/13),25.0,25.473486793021074,44.0,6.0,0.3588039867109635,"Championship, FA Cup, League Cup",left,30.0,6.0,0.3588039867109635,192.0,36.0,0.75,1505.0,1.5731818181818182,F,0.0,0.0,0.0,13.0,14.0,0.8514890791734259,2.0,0.11960132890365449,1.6497595642984932
Jack Harrison (17/18),21.0,21.196876048105025,8.0,0.0,0.0,"Championship, Championship Playoffs, FA Cup, League Cup",left,4.0,0.0,0.0,175.0,19.0,3.15,49.0,0.75,M,0.0,0.0,23.0,0.0,4.0,0.41342395805526466,0.0,0.0,1.3316705375688338
Jack Stephens (15/16),22.0,,9.0,0.0,0.0,"Championship, League Cup",,6.0,0.0,0.0,,20.0,,300.0,3.0,D,0.0,0.0,0.0,2.0,3.0,,0.0,0.0,0.42158269313863694
Jacob Butterfield (13/14),23.0,23.231140954297487,44.0,2.0,0.1091570648878108,"Championship, FA Cup, League Cup",right,32.0,3.0,0.1637355973317162,180.0,42.0,0.75,1649.0,1.4795454545454547,M,0.0,0.0,6.0,14.0,12.0,0.8268479161105293,0.0,0.0,1.2039160350980391
Jamal Blackman (14/15),20.0,20.846423951210497,1.0,0.0,0.0,"Championship, Championship Playoffs, FA Cup, League Cup",,1.0,0.0,0.0,199.0,8.0,0.15,120.0,0.0,G,0.0,0.0,0.0,0.0,0.0,0.8295858231175178,0.0,0.0,0.34378287386095613
James Husband (14/15),20.0,20.56989534350466,7.0,0.0,0.0,"Championship, Championship Playoffs, FA Cup, League Cup",left,6.0,0.0,0.0,179.0,23.0,0.225,452.0,2.045714285714286,D,0.0,0.0,0.0,0.0,1.0,0.9199367543481386,0.0,0.0,1.016829014874356
James Husband (15/16),22.0,20.56989534350466,1.0,1.0,1.0,"Championship, FA Cup, League Cup",left,1.0,0.0,0.0,179.0,5.0,0.375,90.0,3.0,D,0.0,0.0,17.0,0.0,0.0,1.9220107189059323,0.0,0.0,0.7848196161674063
James Husband (16/17),23.0,20.56989534350466,1.0,0.0,0.0,"FA Cup, League Cup, Premier League",left,1.0,0.0,0.0,179.0,3.0,0.425,59.0,0.0,D,0.0,0.0,40.0,1.0,0.0,2.921346776456738,0.0,0.0,0.8890627731827733
Jason Steele (09/10),18.0,17.87031903461399,0.0,0.0,0.0,"Championship, FA Cup, League Cup",right,0.0,0.0,0.0,188.0,18.0,0.075,0.0,0.0,G,0.0,0.0,0.0,0.0,0.0,1.9986721151016105,0.0,0.0,0.257749929408308
Jason Steele (10/11),19.0,17.87031903461399,2.0,0.0,0.0,"Championship, FA Cup, League Cup",right,2.0,0.0,0.0,188.0,18.0,0.188,180.0,1.5,G,0.0,0.0,0.0,0.0,0.0,2.998008172652416,0.0,0.0,0.2939267680870258
Jason Steele (11/12),20.0,17.87031903461399,36.0,0.0,0.0,"Championship, FA Cup, League Cup",right,36.0,0.0,0.0,188.0,36.0,0.375,3246.0,1.4716666666666667,G,0.0,0.0,0.0,1.0,0.0,4.000082137210209,0.0,0.0,0.8869146804022997
Jason Steele (12/13),21.0,17.87031903461399,53.0,2.0,0.03773584905660377,"Championship, FA Cup, League Cup",right,53.0,0.0,0.0,188.0,53.0,0.563,4770.0,1.3939622641509433,G,0.0,0.0,0.0,0.0,0.0,4.999418194761015,2.0,0.03773584905660377,1.18273291953306
