Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,3,Mon,2016-06-20,21:00 (20:00),Slovakia sk,0–0,eng England,39051,Stade Geoffroy-Guichard,Carlos Velasco,Match Report,
Group stage,3,Tue,2016-06-21,18:00 (17:00),Northern Ireland nir,0–1,de Germany,44125,Parc des Princes,Clément Turpin,Match Report,
Group stage,3,Tue,2016-06-21,18:00 (17:00),Ukraine ua,0–1,pl Poland,58874,Orange Vélodrome,Svein Oddvar Moen,Match Report,
Group stage,3,Tue,2016-06-21,21:00 (20:00),Czech Republic cz,0–2,tr Turkey,32836,Stade Bollaert-Delelis,William Collum,Match Report,
Group stage,3,Tue,2016-06-21,21:00 (20:00),Croatia hr,2–1,es Spain,37245,Stade Matmut-Atlantique,Björn Kuipers,Match Report,
Group stage,3,Wed,2016-06-22,18:00 (17:00),Hungary hu,3–3,pt Portugal,55514,Groupama Stadium,Martin Atkinson,Match Report,
Group stage,3,Wed,2016-06-22,18:00 (17:00),Iceland is,2–1,at Austria,55514,Stade de France,Szymon Marciniak,Match Report,
Group stage,3,Wed,2016-06-22,21:00 (20:00),Sweden se,0–1,be Belgium,34011,Stade de Nice,Felix Brych,Match Report,
Group stage,3,Wed,2016-06-22,21:00 (20:00),Italy it,0–1,ie Republic of Ireland,44268,Stade Pierre-Mauroy,Ovidiu Hațegan,Match Report,
,,,,,,,,,,,,
Round of 16,,Sat,2016-06-25,15:00 (14:00),Switzerland ch,(4) 1–1 (5),pl Poland,38842,Stade Geoffroy-Guichard,Mark Clattenburg,Match Report,Poland won on penalty kicks following extra time
Round of 16,,Sat,2016-06-25,18:00 (17:00),Wales wal,1–0,nir Northern Ireland,44342,Parc des Princes,Martin Atkinson,Match Report,
Round of 16,,Sat,2016-06-25,21:00 (20:00),Croatia hr,0–1,pt Portugal,33523,Stade Bollaert-Delelis,Carlos Velasco,Match Report,Required Extra Time
Round of 16,,Sun,2016-06-26,15:00 (14:00),France fr,2–1,ie Republic of Ireland,56279,Groupama Stadium,Nicola Rizzoli,Match Report,
Round of 16,,Sun,2016-06-26,18:00 (17:00),Germany de,3–0,sk Slovakia,44312,Stade Pierre-Mauroy,Szymon Marciniak,Match Report,
Round of 16,,Sun,2016-06-26,21:00 (20:00),Hungary hu,0–4,be Belgium,28921,Stadium Municipal,Milorad Mažić,Match Report,
Round of 16,,Mon,2016-06-27,18:00 (17:00),Italy it,2–0,es Spain,76165,Stade de France,Cüneyt Çakιr,Match Report,
Round of 16,,Mon,2016-06-27,21:00 (20:00),England eng,1–2,is Iceland,33901,Stade de Nice,Damir Skomina,Match Report,
Quarter-finals,,Thu,2016-06-30,21:00 (20:00),Poland pl,(3) 1–1 (5),pt Portugal,62940,Orange Vélodrome,Felix Brych,Match Report,Portugal won on penalty kicks following extra time
Quarter-finals,,Fri,2016-07-01,21:00 (20:00),Wales wal,3–1,be Belgium,45936,Stade Pierre-Mauroy,Damir Skomina,Match Report,
Quarter-finals,,Sat,2016-07-02,21:00 (20:00),Germany de,(6) 1–1 (5),it Italy,38764,Stade Matmut-Atlantique,Viktor Kassai,Match Report,Germany won on penalty kicks following extra time
Quarter-finals,,Sun,2016-07-03,21:00 (20:00),France fr,5–2,is Iceland,76833,Stade de France,Björn Kuipers,Match Report,
Semi-finals,,Wed,2016-07-06,21:00 (20:00),Portugal pt,2–0,wal Wales,55679,Groupama Stadium,Jonas Eriksson,Match Report,
Semi-finals,,Thu,2016-07-07,21:00 (20:00),Germany de,0–2,fr France,64078,Orange Vélodrome,Nicola Rizzoli,Match Report,
Final,,Sun,2016-07-10,21:00 (20:00),Portugal pt,1–0,fr France,75868,Stade de France,Mark Clattenburg,Match Report,Required Extra Time
