,,,,,88',Kike,,
,,,,Ross McCormack,94',,,
D,EC,02/05/2015,,Middlesbrough,00:00,Brighton,,
W,EC,08/05/2015,,Brentford,01:02,Middlesbrough,Match Report,
,,,,,26',Jelle Vossen,,
,,,,Andre Gray,54',,,
,,,,,93',Fernando Amorebieta,,
W,EC,15/05/2015,,Middlesbrough,*3 : 0,Brentford,Match Report,
,,,,Lee Tomlin,23',,,
,,,,Kike,55',,,
,,,,Albert Adomah,78',,,
L,EC,25/05/2015,,Middlesbrough,00:02,Norwich,Match Report,
,,,,,12',Cameron Jerome,,
,,,,,15',Nathan Redmond,,
